LADO;NFC;QR
ESTE;859047225;01100304201
ESTE;858445353;01100304202
ESTE;498770598;01100304301
ESTE;495593910;01100304302
ESTE;498562214;01100304401
ESTE;497798070;01100304402
ESTE;446451896;01100304501
ESTE;451065800;01100304502
ESTE;502914246;01100304601
ESTE;498623414;01100304602
ESTE;838057928;01100304701
ESTE;834681048;01100304702
ESTE;490434502;01100304801
ESTE;499713478;01100304802
ESTE;502389958;01100304901
ESTE;500702918;01100304902
ESTE;444165304;01100305001
ESTE;444623544;01100305002
ESTE;693728709;01100305101
ESTE;617443594;01100305102
ESTE;834869192;01100305201
ESTE;827855816;01100305202
ESTE;611486218;01100305301
ESTE;605781258;01100305302
ESTE;868485689;01100305401
ESTE;828155096;01100305402
ESTE;599877882;01100305501
ESTE;594454010;01100305502
ESTE;598347461;01100305901
ESTE;599674037;01100305902
ESTE;870046521;01100306001
ESTE;866795065;01100306002
ESTE;444358088;01100306101
ESTE;449365432;01100306102
ESTE;446781640;01100306301
ESTE;440564680;01100306302
ESTE;458144745;01100306401
ESTE;465659129;01100306402
ESTE;588259317;01100306601
ESTE;588872181;01100306602
ESTE;909668682;01100306701
ESTE;917227834;01100306702
ESTE;829827288;01100306801
ESTE;826565320;01100306802
ESTE;837361368;01100306901
ESTE;832011720;01100306902
ESTE;698440661;01100307001
ESTE;611831627;01100307002
ESTE;947863624;01100307101
ESTE;940680520;01100307102
ESTE;274565623;01100307201
ESTE;602711461;01100307202
ESTE;447912632;01100307301
ESTE;445485752;01100307302
ESTE;599867589;01100307401
ESTE;595015621;01100307402
ESTE;453586937;01100307601
ESTE;455261673;01100307602
ESTE;749956661;01100307701
ESTE;706124084;01100307702
ESTE;125214711;01100307801
ESTE;137835783;01100307802
ESTE;601963019;01100307901
ESTE;918571594;01100307902
ESTE;861138217;01100308001
ESTE;861529385;01100308002
ESTE;488961478;01100308201
ESTE;501753286;01100308202
ESTE;121282039;01100308301
ESTE;144320519;01100308302
ESTE;940009304;01100308401
ESTE;465091817;01100308402
ESTE;462126313;01100308501
ESTE;454124281;01100308502
ESTE;825090891;01100308601
ESTE;461594361;01100308602
ESTE;489903497;01100308701
ESTE;442353336;01100308702
ESTE;120893943;01100308801
ESTE;121438199;01100308802
ESTE;127829495;01100308901
ESTE;141119495;01100308902
ESTE;859491625;01100309001
ESTE;858446393;01100309002
ESTE;563344021;01100309101
ESTE;560559013;01100309102
ESTE;438319816;01100309201
ESTE;442589112;01100309202
ESTE;719590068;01100309301
ESTE;442915768;01100309302
ESTE;133100791;01100309401
ESTE;134361863;01100309402
ESTE;580313595;01100309501
ESTE;595960485;01100309502
ESTE;498008006;01100309601
ESTE;491752902;01100309602
ESTE;763973291;01100309701
ESTE;605378101;01100309702
ESTE;126329079;01100309801
ESTE;125667575;01100309802
ESTE;147019271;01100309901
ESTE;139475719;01100309902
ESTE;119392503;01100400101
ESTE;145695495;01100400102
ESTE;125916919;01100400103
ESTE;583430859;01100400201
ESTE;150474293;01100400202
ESTE;456744697;01100400301
ESTE;461621481;01100400302
ESTE;128977655;01100400401
ESTE;836678473;01100400402
ESTE;685555925;01100400501
ESTE;299672839;01100400502
ESTE;616193605;01100400601
ESTE;611790645;01100400602
ESTE;837829465;01100400701
ESTE;838281049;01100400702
ESTE;442801848;01100400801
ESTE;437959624;01100400802
ESTE;566170277;01100400901
ESTE;887225962;01100400902
ESTE;864491641;01100401001
ESTE;867758953;01100401002
ESTE;457241577;01100401101
ESTE;461431017;01100401102
ESTE;874805626;01100401201
ESTE;884470138;01100401202
ESTE;873259898;01100401301
ESTE;554441909;01100401302
ESTE;452762296;01100401401
ESTE;444437688;01100401402
ESTE;587703701;01100401501
ESTE;964057290;01100401502
ESTE;566806677;01100401601
ESTE;841499160;01100401602
ESTE;602126245;01100401701
ESTE;294301959;01100401702
ESTE;868752697;01100401801
ESTE;869671481;01100401802
ESTE;282673159;01100401901
ESTE;488369110;01100401902
ESTE;455627753;01100402001
ESTE;461992937;01100402002
ESTE;857207593;01100402101
ESTE;865300281;01100402102
ESTE;921264698;01100402201
ESTE;919238730;01100402202
ESTE;947869256;01100402301
ESTE;499427558;01100402302
ESTE;462513641;01100402401
ESTE;464617193;01100402402
ESTE;492348374;01100402501
ESTE;497599190;01100402502
ESTE;866450217;01100402601
ESTE;859561001;01100402602
ESTE;497121222;01100402701
ESTE;489589174;01100402702
ESTE;286956551;01100403001
ESTE;274643959;01100403002
ESTE;288139527;01100403101
ESTE;292598279;01100403102
ESTE;447391432;01100403201
ESTE;436687560;01100403202
ESTE;450917816;01100403301
ESTE;443234504;01100403302
